提示，输出顺序为：总轨道数，每个轨道高斯函数个数，A,a,b,c,x1,y1,z1,xm,ym,zm
6
18
-0.239413	5.03315	5.03315	5.03315	0	0	0	0	0	0
0.320234	1.1696	1.1696	1.1696	0	0	0	0	0	0
0.241686	0.380389	0.380389	0.380389	0	0	0	0	0	0
-0	5.03315	5.03315	5.03315	0	0	0	0	0	0
0	5.03315	5.03315	5.03315	0	0	0	1	0	0
-0	1.1696	1.1696	1.1696	0	0	0	0	0	0
0	1.1696	1.1696	1.1696	0	0	0	1	0	0
-0	0.380389	0.380389	0.380389	0	0	0	0	0	0
0	0.380389	0.380389	0.380389	0	0	0	1	0	0
-0	5.03315	5.03315	5.03315	0	0	0	0	0	0
0	5.03315	5.03315	5.03315	0	0	0	0	1	0
-0	1.1696	1.1696	1.1696	0	0	0	0	0	0
0	1.1696	1.1696	1.1696	0	0	0	0	1	0
-0	0.380389	0.380389	0.380389	0	0	0	0	0	0
0	0.380389	0.380389	0.380389	0	0	0	0	1	0
-0	5.03315	5.03315	5.03315	0	0	0	0	0	0
0	5.03315	5.03315	5.03315	0	0	0	0	0	1
-0	1.1696	1.1696	1.1696	0	0	0	0	0	0
0	1.1696	1.1696	1.1696	0	0	0	0	0	1
-0	0.380389	0.380389	0.380389	0	0	0	0	0	0
0	0.380389	0.380389	0.380389	0	0	0	0	0	1
0	3.42525	3.42525	3.42525	1.8	0	0	0	0	0
0	0.623914	0.623914	0.623914	1.8	0	0	0	0	0
0	0.168855	0.168855	0.168855	1.8	0	0	0	0	0
0	3.42525	3.42525	3.42525	-0.45	1.75	0	0	0	0
0	0.623914	0.623914	0.623914	-0.45	1.75	0	0	0	0
0	0.168855	0.168855	0.168855	-0.45	1.75	0	0	0	0
*******************************************************************
-0	5.03315	5.03315	5.03315	0	0	0	0	0	0
0	1.1696	1.1696	1.1696	0	0	0	0	0	0
0	0.380389	0.380389	0.380389	0	0	0	0	0	0
-0	5.03315	5.03315	5.03315	0	0	0	0	0	0
0.661643	5.03315	5.03315	5.03315	0	0	0	1	0	0
-0	1.1696	1.1696	1.1696	0	0	0	0	0	0
